"DateTime","Players","Average Players","Flags"
"2021-08-02 00:00:00",13885,,
"2021-08-03 00:00:00",13488,,
"2021-08-04 00:00:00",13413,,
"2021-08-05 00:00:00",15059,,
"2021-08-06 00:00:00",15013,,
"2021-08-07 00:00:00",14917,,
"2021-08-08 00:00:00",14713,,
"2021-08-09 00:00:00",12999,,
"2021-08-10 00:00:00",12567,,
"2021-08-11 00:00:00",12410,,
"2021-08-12 00:00:00",14224,,
"2021-08-13 00:00:00",13276,,
"2021-08-14 00:00:00",12935,,
"2021-08-15 00:00:00",12930,,
"2021-08-16 00:00:00",11588,,
"2021-08-17 00:00:00",11255,,
"2021-08-18 00:00:00",11320,,
"2021-08-19 00:00:00",13976,,
"2021-08-20 00:00:00",13241,,
"2021-08-21 00:00:00",13072,,
"2021-08-22 00:00:00",13123,,
"2021-08-23 00:00:00",11897,,
"2021-08-24 00:00:00",11485,,
"2021-08-25 00:00:00",11917,,
"2021-08-26 00:00:00",14254,,
"2021-08-27 00:00:00",13521,,
"2021-08-28 00:00:00",13250,,
"2021-08-29 00:00:00",13409,,
"2021-08-30 00:00:00",12330,,
"2021-08-31 00:00:00",11488,,
"2021-09-01 00:00:00",11099,,
"2021-09-02 00:00:00",12877,,
"2021-09-03 00:00:00",12778,,
"2021-09-04 00:00:00",13003,,
"2021-09-05 00:00:00",12247,,
"2021-09-06 00:00:00",10656,,
"2021-09-07 00:00:00",10189,,
"2021-09-08 00:00:00",10144,,
"2021-09-09 00:00:00",11715,,
"2021-09-10 00:00:00",11475,,
"2021-09-11 00:00:00",11780,,
"2021-09-12 00:00:00",11069,,
"2021-09-13 00:00:00",9549,,
"2021-09-14 00:00:00",9398,,
"2021-09-15 00:00:00",9641,,
"2021-09-16 00:00:00",12011,,
"2021-09-17 00:00:00",11872,,
"2021-09-18 00:00:00",12103,,
"2021-09-19 00:00:00",12108,,
"2021-09-20 00:00:00",10340,,
"2021-09-21 00:00:00",9637,,
"2021-09-22 00:00:00",9271,,
"2021-09-23 00:00:00",11251,,
"2021-09-24 00:00:00",16608,,
"2021-09-25 00:00:00",22183,,
"2021-09-26 00:00:00",25449,,
"2021-09-27 00:00:00",23887,,
"2021-09-28 00:00:00",22524,,
"2021-09-29 00:00:00",20058,,
"2021-09-30 00:00:00",20408,,
"2021-10-01 00:00:00",18586,,
"2021-10-02 00:00:00",18397,,
"2021-10-03 00:00:00",17045,,
"2021-10-04 00:00:00",13647,,
"2021-10-05 00:00:00",13185,,
"2021-10-06 00:00:00",12506,,
"2021-10-07 00:00:00",13609,,
"2021-10-08 00:00:00",13339,,
"2021-10-09 00:00:00",14430,,
"2021-10-10 00:00:00",13447,,
"2021-10-11 00:00:00",10873,,
"2021-10-12 00:00:00",10744,,
"2021-10-13 00:00:00",10720,,
"2021-10-14 00:00:00",13102,,
"2021-10-15 00:00:00",13373,,
"2021-10-16 00:00:00",13821,,
"2021-10-17 00:00:00",12937,,
"2021-10-18 00:00:00",10621,,
"2021-10-19 00:00:00",10558,,
"2021-10-20 00:00:00",10306,,
"2021-10-21 00:00:00",11949,,
"2021-10-22 00:00:00",12437,,
"2021-10-23 00:00:00",13178,,
"2021-10-24 00:00:00",12739,,
"2021-10-25 00:00:00",10380,,
"2021-10-26 00:00:00",10136,,
"2021-10-27 00:00:00",10141,,
"2021-10-28 00:00:00",11864,,
"2021-10-29 00:00:00",12211,,
"2021-10-30 00:00:00",12102,,
"2021-10-31 00:00:00",11368,,
"2021-11-01 00:00:00",10114,,
"2021-11-02 00:00:00",9686,,
"2021-11-03 00:00:00",9568,,
"2021-11-04 00:00:00",11229,,
"2021-11-05 00:00:00",11394,,
"2021-11-06 00:00:00",11410,,
"2021-11-07 00:00:00",11968,,
"2021-11-08 00:00:00",9552,,
"2021-11-09 00:00:00",9204,,
"2021-11-10 00:00:00",9353,,
"2021-11-11 00:00:00",10656,,
"2021-11-12 00:00:00",11530,,
"2021-11-13 00:00:00",12168,,
"2021-11-14 00:00:00",11419,,
"2021-11-15 00:00:00",9296,,
"2021-11-16 00:00:00",8946,,
"2021-11-17 00:00:00",8600,,
"2021-11-18 00:00:00",9365,,
"2021-11-19 00:00:00",10217,,
"2021-11-20 00:00:00",10701,,
"2021-11-21 00:00:00",9659,,
"2021-11-22 00:00:00",7367,,
"2021-11-23 00:00:00",7284,,
"2021-11-24 00:00:00",7096,,
"2021-11-25 00:00:00",15799,,
"2021-11-26 00:00:00",27170,,
"2021-11-27 00:00:00",34867,,
"2021-11-28 00:00:00",37757,,
"2021-11-29 00:00:00",35640,,
"2021-11-30 00:00:00",37305,,
"2021-12-01 00:00:00",36130,,
"2021-12-02 00:00:00",34320,,
"2021-12-03 00:00:00",32573,,
"2021-12-04 00:00:00",30626,,
"2021-12-05 00:00:00",26077,,
"2021-12-06 00:00:00",20026,,
"2021-12-07 00:00:00",18271,,
"2021-12-08 00:00:00",17133,,
"2021-12-09 00:00:00",17663,,
"2021-12-10 00:00:00",18989,,
"2021-12-11 00:00:00",19223,,
"2021-12-12 00:00:00",16723,,
"2021-12-13 00:00:00",13556,,
"2021-12-14 00:00:00",12843,,
"2021-12-15 00:00:00",12061,,
"2021-12-16 00:00:00",12680,,
"2021-12-17 00:00:00",13343,,
"2021-12-18 00:00:00",14333,,
"2021-12-19 00:00:00",12801,,
"2021-12-20 00:00:00",10424,,
"2021-12-21 00:00:00",10330,,
"2021-12-22 00:00:00",10449,,
"2021-12-23 00:00:00",14201,,
"2021-12-24 00:00:00",18282,,
"2021-12-25 00:00:00",21241,,
"2021-12-26 00:00:00",21807,,
"2021-12-27 00:00:00",21058,,
"2021-12-28 00:00:00",20790,,
"2021-12-29 00:00:00",20856,,
"2021-12-30 00:00:00",21724,,
"2021-12-31 00:00:00",22339,,
"2022-01-01 00:00:00",22120,,
"2022-01-02 00:00:00",23079,,
"2022-01-03 00:00:00",20608,,
"2022-01-04 00:00:00",20809,,
