DateTime,Players,Average Players,Flags,Final Price,Discount,,
2021-06-23 00:00:00,8228,,,59.99,0,,
2021-06-24 00:00:00,11006,,,29.99,50,,
2021-06-25 00:00:00,21479,,,29.99,50,,
2021-06-26 00:00:00,31427,,,29.99,50,,
2021-06-27 00:00:00,37334,,,29.99,50,,
2021-06-28 00:00:00,37110,,,29.99,50,,
2021-06-29 00:00:00,37865,,,29.99,50,,
2021-06-30 00:00:00,36988,,,29.99,50,,
2021-07-01 00:00:00,38308,,,29.99,50,,
2021-07-02 00:00:00,38229,,,29.99,50,,
2021-07-03 00:00:00,39632,,,29.99,50,,
2021-07-04 00:00:00,39389,,,29.99,50,,
2021-07-05 00:00:00,36895,,,29.99,50,,
2021-07-06 00:00:00,35716,,,29.99,50,,
2021-07-07 00:00:00,34989,,,29.99,50,,
2021-07-08 00:00:00,37136,,,59.99,0,,
2021-07-09 00:00:00,35625,,,59.99,0,,
2021-07-10 00:00:00,33576,,,59.99,0,,
2021-07-11 00:00:00,31278,,,59.99,0,,
2021-07-12 00:00:00,26815,,,59.99,0,,
2021-07-13 00:00:00,24979,,,59.99,0,,
2021-07-14 00:00:00,24187,,,59.99,0,,
2021-07-15 00:00:00,24849,,,59.99,0,,
2021-07-16 00:00:00,23007,,,59.99,0,,
2021-07-17 00:00:00,22088,,,59.99,0,,
2021-07-18 00:00:00,21139,,,59.99,0,,
2021-07-19 00:00:00,19026,,,59.99,0,,
2021-07-20 00:00:00,16985,,,59.99,0,,
2021-07-21 00:00:00,16169,,,59.99,0,,
2021-07-22 00:00:00,19132,,,59.99,0,,
2021-07-23 00:00:00,18354,,,59.99,0,,
2021-07-24 00:00:00,17729,,,59.99,0,,
2021-07-25 00:00:00,17603,,,59.99,0,,
2021-07-26 00:00:00,15381,,,59.99,0,,
2021-07-27 00:00:00,14897,,,59.99,0,,
2021-07-28 00:00:00,15027,,,59.99,0,,
2021-07-29 00:00:00,16604,,,59.99,0,,
2021-07-30 00:00:00,15792,,,59.99,0,,
2021-07-31 00:00:00,15443,,,59.99,0,,
2021-08-01 00:00:00,15242,,,59.99,0,,
2021-08-02 00:00:00,13885,,,59.99,0,,
2021-08-03 00:00:00,13488,,,59.99,0,,
2021-08-04 00:00:00,13413,,,59.99,0,,
2021-08-05 00:00:00,15059,,,59.99,0,,
2021-08-06 00:00:00,15013,,,59.99,0,,
2021-08-07 00:00:00,14917,,,59.99,0,,
2021-08-08 00:00:00,14713,,,59.99,0,,
2021-08-09 00:00:00,12999,,,59.99,0,,
2021-08-10 00:00:00,12567,,,59.99,0,,
2021-08-11 00:00:00,12410,,,59.99,0,,
2021-08-12 00:00:00,14224,,,59.99,0,,
2021-08-13 00:00:00,13276,,,59.99,0,,
2021-08-14 00:00:00,12935,,,59.99,0,,
2021-08-15 00:00:00,12930,,,59.99,0,,
2021-08-16 00:00:00,11588,,,59.99,0,,
2021-08-17 00:00:00,11255,,,59.99,0,,
2021-08-18 00:00:00,11320,,,59.99,0,,
2021-08-19 00:00:00,13976,,,59.99,0,,
2021-08-20 00:00:00,13241,,,59.99,0,,
2021-08-21 00:00:00,13072,,,59.99,0,,
2021-08-22 00:00:00,13123,,,59.99,0,,
2021-08-23 00:00:00,11897,,,59.99,0,,
2021-08-24 00:00:00,11485,,,59.99,0,,
2021-08-25 00:00:00,11917,,,59.99,0,,
2021-08-26 00:00:00,14254,,,59.99,0,,
