"DateTime","Players","Average Players","Flags"
"2021-11-09 00:00:00",70726,,
"2021-11-10 00:00:00",74323,,
"2021-11-11 00:00:00",80859,,
"2021-11-12 00:00:00",73966,,
"2021-11-13 00:00:00",81096,,
"2021-11-14 00:00:00",79767,,
"2021-11-15 00:00:00",62275,,
"2021-11-16 00:00:00",56628,,
"2021-11-17 00:00:00",52222,,
"2021-11-18 00:00:00",49809,,
"2021-11-19 00:00:00",45527,,
"2021-11-20 00:00:00",50309,,
"2021-11-21 00:00:00",48506,,
"2021-11-22 00:00:00",37924,,
"2021-11-23 00:00:00",34711,,
"2021-11-24 00:00:00",34210,,
"2021-11-25 00:00:00",37331,,
"2021-11-26 00:00:00",35307,,
"2021-11-27 00:00:00",37024,,
"2021-11-28 00:00:00",35355,,
"2021-11-29 00:00:00",26361,,
"2021-11-30 00:00:00",24767,,
"2021-12-01 00:00:00",23325,,
"2021-12-02 00:00:00",26038,,
"2021-12-03 00:00:00",26457,,
"2021-12-04 00:00:00",31367,,
"2021-12-05 00:00:00",30158,,
"2021-12-06 00:00:00",21719,,
"2021-12-07 00:00:00",20869,,
"2021-12-08 00:00:00",19982,,
"2021-12-09 00:00:00",23558,,
"2021-12-10 00:00:00",22660,,
"2021-12-11 00:00:00",25166,,
"2021-12-12 00:00:00",22223,,
"2021-12-13 00:00:00",17121,,
"2021-12-14 00:00:00",16211,,
"2021-12-15 00:00:00",16269,,
"2021-12-16 00:00:00",18553,,
"2021-12-17 00:00:00",18424,,
"2021-12-18 00:00:00",20310,,
"2021-12-19 00:00:00",19710,,
"2021-12-20 00:00:00",16143,,
"2021-12-21 00:00:00",15832,,
"2021-12-22 00:00:00",15331,,
"2021-12-23 00:00:00",19880,,
"2021-12-24 00:00:00",20637,,
"2021-12-25 00:00:00",23553,,
"2021-12-26 00:00:00",24071,,
"2021-12-27 00:00:00",23812,,
"2021-12-28 00:00:00",22795,,
"2021-12-29 00:00:00",22857,,
"2021-12-30 00:00:00",26245,,
"2021-12-31 00:00:00",24355,,
"2022-01-01 00:00:00",23423,,
"2022-01-02 00:00:00",23068,,
"2022-01-03 00:00:00",19778,,
"2022-01-04 00:00:00",18456,,
"2022-01-05 00:00:00",18603,,
"2022-01-06 00:00:00",21891,,
"2022-01-07 00:00:00",20451,,
"2022-01-08 00:00:00",21436,,
"2022-01-09 00:00:00",20433,,
"2022-01-10 00:00:00",15697,,
"2022-01-11 00:00:00",15486,,
"2022-01-12 00:00:00",15360,,
"2022-01-13 00:00:00",17839,,
"2022-01-14 00:00:00",17054,,
"2022-01-15 00:00:00",18835,,
"2022-01-16 00:00:00",18074,,
"2022-01-17 00:00:00",15658,,
"2022-01-18 00:00:00",13492,,
"2022-01-19 00:00:00",13575,,
"2022-01-20 00:00:00",16166,,
"2022-01-21 00:00:00",15137,,
"2022-01-22 00:00:00",17001,,
"2022-01-23 00:00:00",16398,,
"2022-01-24 00:00:00",12508,,
"2022-01-25 00:00:00",12036,,
"2022-01-26 00:00:00",12507,,
"2022-01-27 00:00:00",15814,,
"2022-01-28 00:00:00",14723,,
"2022-01-29 00:00:00",16473,,
"2022-01-30 00:00:00",16783,,
"2022-01-31 00:00:00",12855,,
"2022-02-01 00:00:00",12664,,
"2022-02-02 00:00:00",14405,,
"2022-02-03 00:00:00",19524,,
"2022-02-04 00:00:00",16610,,
"2022-02-05 00:00:00",17311,,
"2022-02-06 00:00:00",16919,,
"2022-02-07 00:00:00",12628,,
"2022-02-08 00:00:00",12182,,
"2022-02-09 00:00:00",11823,,
"2022-02-10 00:00:00",16595,,
"2022-02-11 00:00:00",15737,,
